supuesto_id,pregunta,opcion_a,opcion_b,opcion_c,opcion_d
1,"13. Suponiendo que el inmueble objeto de la controversia constituya la vivienda
habitual de la parte demandada, se informará a esta: Art.441.5","En el auto de admisión a trámite de la demanda, de la posibilidad de acudir a las
Administraciones Públicas autonómicas y locales competentes en materia de vivienda,
asistencia social, evaluación e información de situaciones de necesidad social y
atención inmediata a personas en situación o riesgo de exclusión social, siempre que
se hubiera otorgado el consentimiento por los interesados.","En el auto de admisión a trámite de la demanda, de la posibilidad de acudir a las
Administraciones Públicas autonómicas y locales competentes en materia de vivienda,
asistencia social, evaluación e información de situaciones de necesidad social y
atención inmediata a personas en situación o riesgo de exclusión social.","En el decreto de admisión a trámite de la demanda, de la posibilidad de acudir a las
Administraciones Públicas autonómicas y locales competentes en materia de vivienda,
asistencia social, evaluación e información de situaciones de necesidad social y
atención inmediata a personas en situación o riesgo de exclusión social, siempre que
se hubiera otorgado el consentimiento por los interesados.","En el decreto de admisión a trámite de la demanda, de la posibilidad de acudir a
las Administraciones Públicas autonómicas y locales competentes en materia de
vivienda, asistencia social, evaluación e información de situaciones de necesidad
social y atención inmediata a personas en situación o riesgo de exclusión social."
1,"14. En relación al supuesto práctico que nos ocupa, señale la correcta: Art.441.5","Se comunicará en el plazo de 10 días y de oficio por el Juzgado la existencia del
procedimiento a las Administraciones autonómicas y locales competentes en materia
de vivienda, asistencia social, evaluación e información de situaciones de necesidad
social y atención inmediata a personas en situación o riesgo de exclusión social.","Se comunicará inmediatamente y de oficio por el Juzgado la existencia del
procedimiento a las Administraciones autonómicas y locales competentes en materia
de vivienda, asistencia social, evaluación e información de situaciones de necesidad
social y atención inmediata a personas en situación o riesgo de exclusión social.","Se comunicará inmediatamente y a petición de la parte demandada por el Juzgado
la existencia del procedimiento a las Administraciones autonómicas y locales
competentes en materia de vivienda, asistencia social, evaluación e información de
situaciones de necesidad social y atención inmediata a personas en situación o riesgo
de exclusión social.","Se comunicará en el plazo de diez días y a petición de la parte demandada por el
Juzgado la existencia del procedimiento a las Administraciones autonómicas y locales
competentes en materia de vivienda, asistencia social, evaluación e información de
situaciones de necesidad social y atención inmediata a personas en situación o riesgo
de exclusión social."
1,"15. En caso de que las Administraciones públicas confirmasen que la parte demandada,
se encuentra en situación de vulnerabilidad económica y, en su caso, social, se
notificará al órgano judicial: Art.441.5",A la mayor brevedad y en todo caso en el plazo máximo de diez días.,A la mayor brevedad y en todo caso en el plazo máximo de cinco días.,A la mayor brevedad y en todo caso en el plazo máximo de siete días.,A la mayor brevedad y en todo caso en el plazo máximo de veinte días.
1,"16. Si el demandado o demandados no contestaren a la demanda en el plazo
legalmente previsto: Art.438.7",Se procederá al desahucio sin más trámites.,Se procederá de inmediato a dictar sentencia.,Se procederá de inmediato a dictar auto.,Se procederá de inmediato a dictar decreto.
1,17. La oposición del demandado podrá fundarse exclusivamente: Art.444.1 bis,"En la existencia de título su nte frente al actor para poseer la vivienda o en la
falta de título por parte del actor.",En que el actor sea un gran tenedor de vivienda.,En la vulnerabilidad económica y/o social que justifique la ocupación de la vivienda.,"En la existencia de título suficiente frente al demandado para poseer la vivienda o
en la falta de título por parte del demandado."
1,438.7,"Permitirá su ejecución, previa solicitud de Ana María, sin necesidad de que
transcurra el plazo de veinte días previsto en el artículo 548.","Permitirá su ejecución, previa solicitud de Ana María, en el plazo de diez días.","Permitirá su ejecución, previa solicitud de Ana María, una vez transcurrido el plazo
de veinte días previsto en el artículo 548.",Se ejecutará el lanzamiento inmediatamente sin necesidad de previa solicitud.
1,19. La sentencia dictada en este procedimiento: Art.447.2,Únicamente producirá efectos de cosa juzgada cuando acuerde el lanzamiento.,"Únicamente producirá efectos de cosa juzgada cuando la sentencia fuera
desestimatoria.",Producirá efectos de cosa juzgada.,No producirá efectos de cosa juzgada.
1,"20. ¿Qué recurso cabe contra la sentencia dictada en este procedimiento? Art.455 y
458",No cabe ningún recurso.,Cabe recurso de apelación en el plazo de veinte días.,Cabe recurso de revisión en el plazo de cinco días.,Sólo cabe protesta.
1,21. Solicitada la ejecución de la sentencia: Art.703.1,"Si en el inmueble que haya de entregarse hubiere cosas que no sean objeto del
título, el Letrado de la Administración de Justicia requerirá al ejecutado para que las
retire dentro del plazo que señale. Si no las retirare, se considerarán bienes
abandonados a todos los efectos.","Si en el inmueble que haya de entregarse hubiere cosas que no sean objeto del
título, el Letrado de la Administración de Justicia requerirá al ejecutado para que las
retire dentro del plazo de cinco días. Si no las retirare, se considerarán bienes
abandonados a todos los efectos.","Si en el inmueble que haya de entregarse hubiere cosas que no sean objeto del
título, el Letrado de la Administración de Justicia requerirá al ejecutado para que las
retire dentro del plazo de diez días. Si no las retirare, se considerarán bienes
abandonados a todos los efectos.","Si en el inmueble que haya de entregarse hubiere cosas que no sean objeto del
título, el Letrado de la Administración de Justicia requerirá al ejecutado para que las
retire dentro del plazo de veinte días. Si no las retirare, se considerarán bienes
abandonados a todos los efectos."
2,"1.- Teniendo en cuenta la condición legal de ARRENDO INMUEBLES S.A., ¿qué
procedimiento judicial de los siguientes puede interponer la sociedad mercantil del
presente supuesto para recuperar la posesión de la vivienda referida? Art. 250.1.72","El juicio declarativo verbal previsto en el apartado 62 del artículo 250.1 de la Ley de
Enjuiciamiento Civil instado por los titulares de derechos reales inscritos en el Registro
de la Propiedad que demanden la efectividad de esos derechos frente a quienes se
opongan a ellos o perturben su ejercicio, sin disponer de título inscrito que legitime la
oposición o la perturbación.","El juicio declarativo verbal previsto en el apartado 12 del artículo 250.1 de la Ley de
Enjuiciamiento Civil sobre desahucio por falta de pago de las rentas debidas por el
arrendatario.","El juicio declarativo verbal previsto en el apartado 7* del artículo 250.1 de la Ley
de Enjuiciamiento Civil instado por los titulares de derechos reales inscritos en el
Registro de la Propiedad que demanden la efectividad de esos derechos frente a
quienes se opongan a ellos o perturben su ejercicio, sin disponer de título inscrito
que legitime la oposición o la perturbación.","El juicio declarativo verbal previsto en el apartado 2 del artículo 250.1 de la Ley de
Enjuiciamiento Civil sobre desahucio por falta de pago de las rentas debidas por el
arrendatario."
2,"2.- En el caso de la pregunta anterior, ¿qué documentos debe acompañar ARRENDO
INMUEBLES S.A. con la demanda para interponer el proceso judicial, sin los cuales se
inadmitiría la misma?: Art. 439.2. 32",Apoderamiento especial por el procurador.,"Certificación literal del Registro Mercantil que acredite expresamente la vigencia, sin
contradicción alguna, del asiento que legitima al demandante.","Certificación literal del Registro de la Propiedad que acredite expresamente la
vigencia, sin contradicción alguna, del asiento que legitima al demandante.","Certificación del Registro de la Propiedad que acredite expresamente la vigencia, sin
contradicción alguna, del asiento que legitima al demandante."
2,"3.- En cuanto a la situación de posible vulnerabilidad económica de los supuestos
ocupas, si la respuesta al oficio dirigido por el órgano judicial a las Administración
competente en materia de asistencia social acredita tal situación, el tribunal podrá
suspender el proceso para que se adopten las medidas propuestas por las
Administraciones públicas sobre una alternativa de vivienda digna. ¿Durante qué plazo
máximo se suspendería el proceso en este caso? Art. 441.6",Un mes.,Dos meses.,Tres meses.,"Cuatro meses.

© preparadordanieldortaegmail.com © Edanieldortajusticia º Daniel Dorta Justicia"
2,"5.- Según dispone el artículo 12 de la Ley de Enjuiciamiento Civil, ¿cómo se denomina
el concepto jurídico-procesal que posibilita que puedan comparecer en juicio varias
personas, como demandantes o demandados, cuando las acciones que se ejerciten
provengan de un mismo título o causa de pedir? Art. 12",Legitimación.,Intervención provocada.,Capacidad procesal.,Litisconsorcio.
2,"6.- Acordado el emplazamiento para contestar a la demanda, se persona en el
domicilio el funcionario del cuerpo de Auxilio Judicial y hallando a los supuestos
ocupas éstos se niegan a recibir la copia de la resolución y de la demanda con sus
documentos. ¿Qué actuación deberá llevar a cabo el funcionario que practica la
diligencia? Art. 161.2","Les hará saber que la copia de la resolución o la cédula queda a su disposición en la
oficina judicial para que vayan a recogerla en el plazo de tres días, de lo contrario
producirá los efectos legales la comunicación intentada.","Les hará saber que la copia de la resolución o la cédula queda a su disposición en la
oficina judicial para que vayan a recogerla en el plazo de cinco días, de lo contrario
producirá los efectos legales la comunicación intentada.","Les hará saber que la copia de la resolución o la cédula queda a su disposición en el
buzón en un sobre cerrado y oralmente se les comunicará los apercibimientos que
contiene.","Les hará saber que la copia de la resolución o la cédula queda a su disposición en
la oficina judicial, produciéndose los efectos de la comunicación, de todo lo cual
quedará constancia en la diligencia.

© preparadordanieldortaegmail.com © Edanieldortajusticia º Daniel Dorta Justicia"
2,"7.- Los demandados del supuesto práctico, dentro del plazo para contestar, solicitan
asistencia jurídica gratuita. El artículo 16.1 de la Ley 1/1996, de 10 de enero, de
asistencia jurídica gratuita dispone que la solicitud de reconocimiento no suspenderá
el curso del proceso que se ha iniciado, no obstante: Art. 16.1","A fin de evitar que el transcurso de los plazos pueda provocar la preclusión de un
trámite o la indefensión de cualquiera de las partes, el Letrado de la Administración
de Justicia podrá decretar la suspensión hasta que se produzca la designación
provisional de abogado y procurador si su intervención fuera preceptiva.","A fin de evitar que el transcurso de los plazos pueda provocar la preclusión de un
trámite o la indefensión de cualquiera de las partes, el Letrado de la Administración de
Justicia decretará la suspensión hasta que se produzca la designación provisional de
abogado y procurador si su intervención fuera preceptiva.","A fin de evitar que el transcurso de los plazos pueda provocar la preclusión de un
trámite o la indefensión de cualquiera de las partes, el Letrado de la Administración de
Justicia oirá por tres días a la parte demandante sobre decretar la suspensión hasta
que se produzca la designación provisional de abogado y procurador si su intervención
fuera preceptiva.","A fin de evitar que el transcurso de los plazos pueda provocar la preclusión de un
trámite o la indefensión de cualquiera de las partes, el Letrado de la Administración de
Justicia dará cuenta al tribunal sobre si decretar la suspensión hasta que se produzca la
designación provisional de abogado y procurador si su intervención fuera preceptiva."
2,"8.- En caso de que se denegara el derecho a la asistencia jurídica gratuita a los
demandados, éstos podrán impugnar la resolución de la Comisión de Asistencia
Jurídica Gratuita: Art 20.1","Por escrito y sin firma de abogado, en el plazo de veinte días ante el secretario de la
Comisión de Asistencia Jurídica Gratuita.","Por escrito y de forma motivada, en el plazo de diez días ante el secretario de la
Comisión de Asistencia Jurídica Gratuita.","Por escrito, sin firma de abogado, en el plazo de veinte días ante el tribunal
competente.","Por escrito y de forma motivada, en el plazo de diez días ante el tribunal
competente."
2,"9.- El juez o tribunal que resuelve la impugnación de la pregunta anterior puede
imponer una sanción pecuniaria al impugnante, si la hubiera promovido de forma
temeraria o con abuso de derecho. ¿Entre qué cuantías varía esta sanción? Art. 20.3.",De 30 a 100 euros.,De 30 a 150 euros.,De 30 a 200 euros.,"De 30 a 300 euros.

© preparadordanieldortaegmail.com © Edanieldortajusticia º Daniel Dorta Justicia

ºÍº DANIEL DORTA

PREPARADOR DE OPOSICIONES"
2,"10.- La parte demandante ha fijado en la demanda una caución para garantizar los
daños y perjuicios que haya podido sufrir la vivienda objeto del pleito por la parte
demandada. ¿Cuál de los siguientes tipos de caución o fianza no están previstos en el
artículo 64 LEC? Art. 439.2.22 y 64.2 in fine",Dinero efectivo.,"Mediante aval solidario de duración indefinida y pagadero a primer requerimiento
emitido por entidad de crédito o sociedad de garantía recíproca.",Fianza pignoraticia o hipotecaria.,"Cualquier otro medio que, a juicio del tribunal, garantice la inmediata
disponibilidad, en su caso, de la cantidad fijada."
2,"11.- Los supuestos ocupas se personan en el procedimiento contestando a la demanda.
El Letrado de la Administración de Justica dicta una diligencia de ordenación
acordando dar traslado de la contestación y concediendo a ambas partes trámite para
que propongan la prueba, ¿dentro de qué plazo? Art. 438.8",Común de diez días.,Común de cinco días.,"Las pruebas se proponen en el acto de la vista y, de ser admitidas, se practican
seguidamente.","Las pruebas se proponen en el escrito de contestación de la demanda y se practican
en el acto de la vista."
2,438.8,Dentro del plazo de cinco días.,Dentro del plazo de tres días.,Dentro del plazo de dos días.,Dentro del plazo de diez días.
2,"13.- Los demandados pretenden recabar un informe de una entidad especializada
como prueba que acredite su situación de vulnerabilidad social, ¿en qué plazo podrán
pedir respuestas escritas a esta? Art. 438.8","En el plazo de cinco días por los trámites establecidos en el artículo 381 de la Ley
de Enjuiciamiento Civil.","En el plazo de diez días por los trámites establecidos en el artículo 381 de la Ley de
Enjuiciamiento Civil.","En el plazo de diez días por los trámites establecidos en el artículo 373 de la Ley de
Enjuiciamiento Civil.","En el plazo de cinco días por los trámites establecidos en el artículo 373 de la Ley de
Enjuiciamiento Civil.

© preparadordanieldortaegmail.com © Edanieldortajusticia º Daniel Dorta Justicia"
2,"14.- Trasladado el escrito de proposición de prueba, ARRENDO INMUEBLES, S.A. y los
supuestos ocupas ilegales podrán, en su caso, presentar las impugnaciones a que se
refieren los artículos 280, 283, 287 y 427 de la Ley de Enjuiciamiento Civil, ¿dentro de
qué plazo? Art. 438.9",En los dos días siguientes.,En los diez días siguientes.,En los cinco días siguientes.,En los tres días siguientes.
2,"15.- Transcurrido el plazo de la pregunta anterior, el tribunal resolverá por auto sobre
la impugnación de la cuantía del pleito de haberse producido, sobre las excepciones
procesales planteadas, sobre la admisión de la prueba propuesta y sobre la pertinencia
de la celebración de vista, acordando, en caso de no considerarla necesaria, que
queden los autos conclusos para dictar sentencia. Contra este auto, ¿cabe recurso?
Art. 438.10",Cabra interponer recurso de reposición que no tendrá efecto suspensivo.,"Cabrá interponer recurso de reposición, que tendrá efecto suspensivo.",No cabe recurso.,"Cabrá interponer recurso de apelación, que tendrá efecto suspensivo."
2,"16.- El Letrado de la Administración de Justicia señala vista. Una vez incluido el
señalamiento en la agenda programada del órgano jurisdiccional y, en todo caso, antes
de su notificación a las partes, ¿qué actuación se llevará a cabo? Art. 182.5","Se dará cuenta al Juez. En el caso de que no se ajuste a los criterios e instrucciones
establecidos, el Juez decidirá sobre el señalamiento.","Se dará cuenta al Juez. En el caso de que no se ajuste a lo previsto en la ley, el Juez
decidirá sobre el señalamiento.","Se dará cuenta al Juez y, tras su conformidad, se notificará a las partes en legal
forma.","Se dará cuenta al Juez y este podrá presentar una exposición razonada al Letrado de
la Administración de Justicia para que se modifique el señalamiento en atención a los
criterios e instrucciones acordados."
2,18.- En este procedimiento la oposición del demandado podrá fundarse en: Art. 444.2,Ser la finca inscrita la que efectivamente posea el demandado.,"Se permitirá a los demandados alegar y probar lo que consideren oportuno a través
de todos los medios probatorios previstos en la Ley de Enjuiciamiento Civil.","Falsedad de certificación del Registro u omisión en ella de derechos o condiciones
inscritas, que no desvirtúen la acción ejercitada.","Poseer el demandado la finca o disfrutar el derecho discutido en virtud de
prescripción, siempre que ésta deba perjudicar al titular inscrito."
2,"19.- Con arreglo a lo reflejado en el caso planteado, ¿los supuestos ocupas ilegales
podrán formular como causa de oposición que la finca o el derecho se encuentren
inscritos a favor de ellos? Art. 444.2",No.,"Sí, si así lo justifican presentando certificación del Registro de la Propiedad
acreditativa de la vigencia de la inscripción.","Sí, como presunción legal ¡uris tantum que admite prueba en contra.","Sí, si así lo justifican mediante escritura pública notarial."
2,447.3,"No, salvo que sea estimatoria.","No, salvo que sea desestimatoria.",Tendrá efectos de cosa juzgada.,Carecerá de efectos de cosa juzgada.
2,"22.- En el juicio verbal de efectividad de derechos reales inscritos, una vez admitida la
demanda: Art 441.3","El tribunal podrá adoptar, a instancia de parte y previa audiencia del demandado, las
medidas cautelares que estime oportunas.","El tribunal adoptará las medidas solicitadas que, según las circunstancias, fueren
necesarias para asegurar en todo caso el cumplimiento de la sentencia que recaiga.","El tribunal únicamente podrá acordar medidas de aseguramiento cuando exista riesgo
acreditado de inejecución de la sentencia.","El letrado de la administración de justicia adoptará las medidas solicitadas que, según las
circunstancias, fueren necesarias para asegurar en todo caso el cumplimiento de la sentencia
que recaiga.

© preparadordanieldortaegmail.com © Edanieldortajusticia º Daniel Dorta Justicia"
3,"1. Con arreglo a lo preceptuado en el apartado tercero del artículo 21 de la Ley
49/1960 y en relación con los certificados de las deudas emitidos por el secretario-
administrador del supuesto planteado, ¿cuál de los siguientes datos no tiene que
constar en los certificados? Art. 21.3 LPH",El importe adeudado y su desglose.,El documento acreditativo en el que conste haberse notificado al deudor.,La aprobación de la junta de propietarios por mayoría absoluta.,"No será necesaria la firma del presidente.

ºÍº DANIEL DORTA

PREPARADOR DE OPOSICIONES"
3,"2.- En el procedimiento judicial por el que se sustancien las reclamaciones de MONEY
RAPID, ¿será preciso valerse de procurador y abogado para la presentación de las
peticiones iniciales? Art. 814.2, 23.2 y 31.2",No.,"No, pero sí en las de la RIBIERA.",No es preceptivo si la cuantía reclamada no excede de 2.000 €.,Es preceptivo valerse de procurador y abogado por tratarse de cantidades de hasta
3,394.3,"No, al haber efectuado el pago dentro del plazo del requerimiento.","No, al no ser preceptivo comparecer con procurador ni estar asistido de abogado.","Sí, con sujeción en todo caso a los límites establecidos en el apartado tercero del
artículo 394 de la Ley de Enjuiciamiento Civil.","No, al considerarse un allanamiento a la demanda conforme a lo estipulado en el
apartado segundo del artículo 21 de la Ley de Propiedad Horizontal."
3,"4.- Para poder reclamar a través del procedimiento judicial que la junta propietarios de
este supuesto decide instar, ¿cómo deben ser esas deudas dinerarias? Art. 812.1","De cualquier importe, ilíquidas, determinadas, vencidas y exigibles.","De importe que no exceda de 15.000 euros, líquidas, determinadas, vencidas y
exigibles y acreditadas.","De importe que no exceda de 24.000 euros, líquidas, determinadas, vencidas y
exigibles.","De cualquier importe, líquidas, determinadas, vencidas, exigibles y acreditadas."
3,"5.- ¿En este proceso es obligatorio acudir previamente a algún medio adecuado de
solución de controversias? Arts. 3 a 5 Ley 1/2025 (Título II) / y arts. 264.42 y 403.2","No, se excluye en el proceso monitorio y en el juicio cambiario.","Sí, hay que acreditarlo con la petición o demanda.","No, es una condición exigible solo para los procesos declarativos civiles.","Sí, para reclamaciones que excedan de 2.000 €.

ºÍº DANIEL DORTA

PREPARADOR DE OPOSICIONES"
3,"6.- En las reclamaciones de cantidades encargadas por La Ribiera, ¿qué tribunal es
competente para conocer de la petición? Art. 813","Será exclusivamente competente el Tribunal del domicilio o residencia del deudor
en Valencia.","Será exclusivamente competente el Tribunal del lugar en donde se halle la finca, es
decir, en Valencia.","A elección del solicitante, el tribunal del lugar en donde se halle la finca o el
domicilio o residencia del deudor o el domicilio del solicitante.","A elección del solicitante, el tribunal del lugar en donde se halle la finca o el
domicilio o residencia del deudor."
3,"7.- En la regulación de la competencia territorial del proceso monitorio, ¿serán de
aplicación las normas sobre sumisión expresa o tácita recogidas en el artículo 54 y
siguientes de la Ley de Enjuiciamiento Civil?: Art. 813","No, no serán de aplicación.","Sí, serán de aplicación.","Sí, la sumisión expresa pactada entre las partes.","Solo si el proceso es por impago de cantidades debidas de gastos comunes de
comunidades de propietarios de inmuebles urbanos."
3,"8.- En la reclamación de los préstamos impagados de la financiera MONEY RAPID, ¿qué
resolución se dictará si las averiguaciones de domicilio de los deudores resultan
infructuosas o estos son localizados en otro partido judicial? Art. 813",Decreto de archivo e inhibición de los autos al partido judicial competente.,"Auto dando por terminado el proceso, haciendo constar tal circunstancia y
reservando al acreedor el derecho a instar de nuevo el proceso ante el Tribunal
competente.","Decreto dando por terminado el proceso, haciendo constar tal circunstancia y
reservando al acreedor el derecho a instar de nuevo el proceso ante el Tribunal
competente.",Diligencia de ordenación acordando comunicación edictal.
3,"9.- Admitidas las peticiones de los monitorios por el Letrado de la Administración de
Justicia competente y efectuado el requerimiento de pago al deudor, ¿cómo se
denomina al escrito compareciendo ante el tribunal y alegando de forma fundada y
motivada las razones por la que no debe, en todo o en parte, la cantidad reclamada?
Art. 815.1",Escrito de contestación.,Escrito de oposición.,Escrito de impugnación.,Escrito de alegaciones.
3,"10.- Respecto del requerimiento de pago al deudor en el monitorio, ¿cómo debe
efectuarse dicha comunicación? Art. 815.1",En la forma prevista en el artículo 162 de la Ley de Enjuiciamiento Civil.,En la forma prevista en el artículo 161 de la Ley de Enjuiciamiento Civil.,En la forma prevista en el artículo 161 y 164 de la Ley de Enjuiciamiento Civil.,En la forma prevista en el artículo 164 de la Ley de Enjuiciamiento Civil.
3,"11.- Si de la documentación aportada con la petición de uno de los procedimientos
monitorios instados por la comunidad de propietarios se desprende que la cantidad
reclamada no es correcta, ¿qué actuación procesal se realizará? Art. 815.3","El juez o jueza, revisará la cantidad y, en su caso, mediante auto podrá plantear al
peticionario aceptar o rechazar una propuesta de requerimiento de pago por el
importe inferior al inicialmente solicitado que especifique.","El juez o jueza, revisará la cantidad tras el traslado previo del letrado o letrada de la
Administración de Justicia y, en su caso, mediante providencia podrá plantear al
peticionario aceptar o rechazar una propuesta de requerimiento de pago por un
importe inferior al inicialmente solicitado.","El letrado o letrada de la Administración de Justicia dará traslado al juez o jueza,
quien, en su caso, mediante auto planteará al peticionario aceptar o rechazar una
propuesta de requerimiento de pago por un importe inferior al inicialmente solicitado.","El letrado o letrada de la Administración de Justicia dará traslado al juez o jueza,
quien, en su caso, mediante auto podrá plantear al peticionario aceptar o rechazar
una propuesta de requerimiento de pago por el importe inferior al inicialmente
solicitado que especifique."
3,"12.- Si el tribunal competente no apreciara motivo para reducir la cantidad por la que
se pide el requerimiento de pago: Art. 815.4","Lo declarará así y el letrado o letrada de la Administración de Justicia procederá a
requerir al deudor en los términos previstos en el apartado 1 del artículo 815 de la
Ley de Enjuiciamiento Civil.","Lo declarará así y el letrado o letrada de la Administración de Justicia procederá a
requerir al deudor en los términos previstos en el apartado 1 del artículo 812 de la Ley
de Enjuiciamiento Civil.","Lo declarará así el letrado o letrada de la Administración de Justicia y el juez o jueza
procederá a requerir al deudor en los términos previstos en el apartado 1 del artículo
812 de la Ley de Enjuiciamiento Civil.",Todas las preguntas anteriores son incorrectas.
3,"13.- En los monitorios en los que la deuda se funda en un contrato celebrado entre un
empresario o profesional y un consumidor o usuario, como son los contratos del
supuesto interpuestos por la financiera MONEY RAPID, ¿qué actuación es preceptiva
llevar a cabo previamente al requerimiento de pago? Art. 815.3",El Letrado de la Administración de Justicia dará cuenta al Juez.,"El Letrado de la Administración de Justicia revisará el contrato por si alguna cláusula
pudiese ser calificada de abusiva.",El tribunal decidirá directamente sobre su admisión o inadmisión.,No es necesario realizar ninguna actuación previa en este caso.
3,"14.- Si el deudor no atendiere el requerimiento de pago o no compareciere en el
monitorio, el Letrado de la Administración de Justicia dictará decreto dando por
terminado el proceso y dará traslado al acreedor para que inste el despacho de
ejecución. ¿Qué interés devengará la deuda desde que se dicte el auto despachando la
ejecución? Art. 816.2",El previsto en el artículo 548 de la Ley de Enjuiciamiento Civil.,"Al que se refiere el numeral 2.£ del apartado 2 del artículo 812 de la Ley de
Enjuiciamiento Civil.",El interés a que se refiere el artículo 576 de la Ley de Enjuiciamiento Civil.,El interés legal del dinero.
